,QID,label,description,instance of
2,Q1009,Cameroon,sovereign state in West-Central Africa,country
8,Q47002369,Independence Day,public holiday in Nigeria commemorating independence from Great Britain since 1960,awareness day
9,Q173563,Jomo Kenyatta,first Prime Minister (1963 to 1964) and President (1964 to 1978) of self-governing Kenya,human
10,Q3859,Kigali,"province-level city, capital and largest city of Rwanda",first-level administrative division
12,Q1019,Madagascar,"island sovereign state off the coast of Southeast Africa, in the Indian Ocean",sovereign state
13,Q146256,Miriam Makeba,South African singer and civil rights activist (1932–2008),human
14,Q8023,Nelson Mandela,First President of South Africa and anti-apartheid activist (1918–2013),human
18,Q426722,Rwandan Civil War,1990–1994 conflict in Rwanda,civil war
19,Q214473,Steve Biko,South African anti-apartheid activist (1946–1977),human
22,Q458167,Ambohimanga,human settlement in Madagascar,human settlement
27,Q3073871,flora of Madagascar,plants endemic to Madagascar,aspect in a geographic region
37,Q449639,Alodia,Medieval Nubian Kingdom,historical country
49,Q3170828,Jean Bolikango,Congolese politician (1909–1982),human
51,Q34160,Malagasy cuisine,culinary traditions of Madagascar,national cuisine
52,Q2640927,Maraba coffee,brewed beverage,
55,Q3418072,Rakoto Frah,flautist and composer of traditional music of the central highlands of Madagascar. (1923–2001),human
62,Q28325548,2017 Africa Cup of Nations Final,association football match,international association football match
68,Q2833429,Alexandre Banza,African army officer and politician (1932–1969),human
77,Q2426368,Battle of Bardia,1941 battle of World War II,battle
91,Q948468,Carabane,village of Senegal,human settlement
107,Q3061106,Eusèbe Jaojoby,composer and singer from Madagascar,human
108,Q10492742,Evelyn Mase,South African nurse and first wife of Nelson Mandela (1922-2004),human
110,Q5432160,Fall of Kampala,"battle in the Uganda–Tanzania War, April 1979",battle
124,Q28204477,Jason Sendwe,Congolese politician (1917–1964),human
132,Q3289160,Marcel Lihau,Congolese politician (1930-1999),human
133,Q2485097,Marojejy National Park,national park in the Sava Region of northeastern Madagascar,national park
144,Q36475,Nizaa,Mambiloid language,language
148,Q2355776,Nosy Komba,island in Madagascar,island
149,Q1150465,Operation Barras,2000 military hostage rescue operation,military operation
150,Q764714,Operation Brevity,World War II military offensive,military operation
167,Q781029,Saint-Sylvestre coup d'état,coup d'état,coup d'état
184,Q16953865,2013 Africa Magic Viewers Choice Awards,is an award ceremony organized by Multichoice Africa,award ceremony
186,Q4435456,list of World Heritage Sites in Sudan,Wikimedia list article,Wikimedia list article
191,Q48815353,list of South African Grammy Award winners and nominees,Wikimedia list article,Wikimedia music-related list
193,Q6357022,list of World Heritage Sites in Ivory Coast,Wikimedia list article,Wikimedia list article
194,Q1092535,list of World Heritage Sites in Madagascar,Wikimedia list article,Wikimedia list article
195,Q4435449,list of World Heritage Sites in Senegal,Wikimedia list article,Wikimedia list article
196,Q4435414,list of World Heritage Sites in the Democratic Republic of the Congo,Wikimedia list article,Wikimedia list article
204,Q4435404,list of World Heritage Sites in Burkina Faso,Wikimedia list article,Wikimedia list article
205,Q4435457,list of World Heritage Sites in Tanzania,Wikimedia list article,Wikimedia list article
206,Q6357128,list of World Heritage Sites in Uganda,Wikimedia list article,Wikimedia list article
207,Q660843,2008 invasion of Anjouan,conflict,invasion
210,Q3021177,Defao,Congolese singer and songwriter,human
211,Q52596,Abebe Bikila,Ethiopian double Olympic marathon champion,human
212,Q212955,Albert John Mvumbi Luthuli,South African politician,human
213,Q218622,Andrianampoinimerina,King of Imerina,human
214,Q3915,Antananarivo,capital and largest city of Madagascar,big city
215,Q2717794,Antankarana,ethnic group,ethnic group
216,Q3832,Bangui,capital city of the Central African Republic,city
220,Q43033,Desmond Tutu,"South African churchman, politician, archbishop, Nobel Prize winner (1931–2021)",human
221,Q80985,Fez,city in Morocco,city
223,Q226122,Funmilayo Ransome-Kuti,"Nigerian educator, political campaigner, suffragist, and women's rights activist",human
231,Q186525,Julius Nyerere,"Tanzanian politician and writer, first Prime Minister and President of Tanzania (1922-1999)",human
232,Q125309,Lake Chad,lake in Africa,endorheic lake
235,Q101625,Marrakesh,"city in Marrakesh-Safi, Morocco",city
237,Q4117103,music of Sudan,History of musical culture in Sudan,music by country or region
238,Q3674,Niamey,capital of Niger,city
239,Q218628,Radama II,King of Madagascar,human
241,Q10707,Robert Mugabe,2nd President of Zimbabwe from 1987 to 2017,human
244,Q1517405,Sophiatown,"suburb of Johannesburg, South Africa",town
245,Q291550,Sylvie Kinigi,Burundian politician,human
246,Q133423,Valley of the Kings,necropolis in ancient Egypt,valley
247,Q109237155,Vella Pillay,economist and Anti-apartheid activist,human
249,Q28036153,2010 Zambian census,2010 Zambian Census - Zambia - 2010,census
250,Q621827,2012 Guinea-Bissau coup d'état,coup d'état,coup d'état
